Model,MAE,RMSE,R2
linear,2.719831324333126,3.9078170298736206,0.9988989776987548
rf,3.0445512033195072,4.781739848436395,0.9983514597222887
xgb,3.586040110291287,5.230124566470147,0.9980277964389965
