"Date","Price","Open","High","Low","Vol.","Change %"
"05/28/2026","390.13","388.00","391.87","385.16","24.36M","0.33%"
"05/27/2026","388.83","386.67","393.88","385.90","23.09M","-0.01%"
"05/26/2026","388.88","384.51","389.26","382.60","27.75M","1.54%"
"05/22/2026","382.97","387.35","388.74","381.77","20.44M","-1.21%"
"05/21/2026","387.66","385.70","392.50","383.02","24.85M","-0.32%"
"05/20/2026","388.91","387.70","393.86","382.90","31.74M","0.32%"
"05/19/2026","387.66","396.96","397.15","386.11","39.55M","-2.34%"
"05/18/2026","396.94","395.68","408.61","394.53","26.84M","0.04%"
"05/15/2026","396.78","396.32","399.54","393.18","20.31M","-1.07%"
"05/14/2026","401.07","397.28","402.93","395.84","21.14M","-0.38%"
"05/13/2026","402.62","385.60","403.70","385.00","28.14M","3.94%"
"05/12/2026","387.35","387.34","388.52","382.77","26.02M","-0.33%"
"05/11/2026","388.64","393.64","397.44","388.47","30.75M","-3.03%"
"05/08/2026","400.80","397.00","402.00","396.36","21.46M","0.71%"
"05/07/2026","397.99","399.92","400.10","392.68","24.43M","-0.01%"
"05/06/2026","398.04","394.24","399.85","392.76","31.31M","2.47%"
"05/05/2026","388.43","386.23","392.82","384.02","23.88M","1.35%"
"05/04/2026","383.25","385.63","387.38","379.79","26.30M","-0.63%"
"05/01/2026","385.69","381.63","386.76","379.05","30.11M","0.23%"
"04/30/2026","384.80","374.07","385.84","365.82","72.04M","9.96%"
"04/29/2026","349.94","347.57","355.79","344.21","35.38M","0.05%"
"04/28/2026","349.78","348.55","352.42","346.12","27.82M","-0.16%"
"04/27/2026","350.34","345.98","353.18","342.73","28.58M","1.72%"
"04/24/2026","344.40","338.73","345.27","335.39","26.43M","1.63%"
"04/23/2026","338.89","341.18","341.96","336.18","18.65M","-0.13%"
"04/22/2026","339.32","337.02","339.82","335.17","20.29M","2.12%"
"04/21/2026","332.29","337.68","339.34","331.35","23.12M","-1.52%"
"04/20/2026","337.42","340.76","341.40","336.61","18.78M","-1.25%"
"04/17/2026","341.68","337.65","342.32","336.24","25.58M","1.68%"
"04/16/2026","336.02","338.75","339.88","334.52","20.54M","-0.33%"
"04/15/2026","337.12","332.89","337.48","330.90","24.92M","1.26%"
"04/14/2026","332.91","324.79","333.29","323.75","27.72M","3.61%"
"04/13/2026","321.31","317.14","321.63","315.47","18.87M","1.28%"
"04/10/2026","317.24","320.02","321.83","316.32","19.15M","-0.39%"
"04/09/2026","318.49","315.90","319.54","311.06","23.74M","0.37%"
"04/08/2026","317.32","320.45","322.08","315.02","33.55M","3.88%"
"04/07/2026","305.46","302.73","305.63","297.72","23.21M","1.82%"
"04/06/2026","299.99","295.87","300.62","295.18","16.95M","1.43%"
"04/02/2026","295.77","290.69","298.08","289.45","21.67M","-0.54%"
"04/01/2026","297.39","290.83","300.52","290.41","37.68M","3.42%"
"03/31/2026","287.56","278.04","288.08","277.09","43.88M","5.14%"
"03/30/2026","273.50","276.42","277.09","272.11","35.14M","-0.31%"
"03/27/2026","274.34","277.27","279.37","273.95","35.89M","-2.34%"
"03/26/2026","280.92","287.91","287.95","278.50","39.08M","-3.44%"
"03/25/2026","290.93","293.44","296.00","289.24","29.46M","0.17%"
"03/24/2026","290.44","299.20","299.92","290.33","36.86M","-3.85%"
"03/23/2026","302.06","302.11","305.98","300.93","29.33M","0.35%"
"03/20/2026","301.00","305.46","306.00","298.27","44.36M","-2.00%"
"03/19/2026","307.13","304.01","308.06","302.35","25.08M","-0.18%"
"03/18/2026","307.69","309.27","312.47","306.93","20.01M","-1.04%"
"03/17/2026","310.92","305.86","311.42","305.50","21.96M","1.75%"
"03/16/2026","305.56","304.35","306.49","303.02","23.52M","1.09%"
"03/13/2026","302.28","307.01","307.69","300.44","23.69M","-0.42%"
"03/12/2026","303.55","306.82","308.94","301.03","24.93M","-1.67%"
"03/11/2026","308.70","306.75","311.42","305.92","24.13M","0.54%"
"03/10/2026","307.04","306.17","309.51","305.57","23.24M","0.22%"
"03/09/2026","306.36","294.36","306.80","294.08","29.31M","2.63%"
"03/06/2026","298.52","296.09","300.53","295.18","25.58M","-0.78%"
"03/05/2026","300.88","303.04","303.30","297.99","35.75M","-0.74%"
"03/04/2026","303.13","302.89","305.47","300.75","29.54M","-0.15%"
"03/03/2026","303.58","298.59","303.94","296.71","35.50M","-0.96%"
"03/02/2026","306.52","303.23","308.49","301.30","34.79M","-1.68%"
"02/27/2026","311.76","304.14","312.37","303.80","44.64M","1.42%"
"02/26/2026","307.38","312.64","313.14","302.35","36.43M","-1.76%"
"02/25/2026","312.90","312.06","313.64","309.44","29.96M","0.64%"
"02/24/2026","310.90","310.52","312.27","305.93","25.62M","-0.19%"
"02/23/2026","311.49","319.05","319.52","309.86","31.42M","-1.11%"
"02/20/2026","314.98","304.32","316.50","303.90","53.21M","4.01%"
"02/19/2026","302.85","301.82","305.47","300.04","25.83M","-0.16%"
"02/18/2026","303.33","302.09","305.38","301.25","28.48M","0.43%"
"02/17/2026","302.02","300.04","304.43","296.25","39.25M","-1.21%"
"02/13/2026","305.72","307.73","308.63","303.71","38.50M","-1.06%"
"02/12/2026","309.00","312.09","316.24","307.20","47.76M","-0.63%"
"02/11/2026","310.96","318.97","321.06","309.66","45.41M","-2.39%"
"02/10/2026","318.58","320.97","321.67","314.61","39.17M","-1.77%"
"02/09/2026","324.32","320.93","327.70","317.26","39.64M","0.45%"
"02/06/2026","322.86","327.18","330.38","319.92","56.38M","-2.53%"
"02/05/2026","331.25","312.22","332.69","306.46","88.21M","-0.54%"
"02/04/2026","333.04","342.96","343.31","328.52","70.62M","-1.96%"
"02/03/2026","339.71","347.34","349.00","337.47","36.51M","-1.16%"
"02/02/2026","343.69","336.22","344.83","335.63","32.01M","1.68%"
