Date,Price,Open,High,Low,Vol.,Change %,Close,Volume,MA10,MA50,Returns,Volatility,RSI,MACD,UpperBand,LowerBand
2021-09-13,149.55,150.63,151.42,148.75,102.40M,0.39%,149.55,102400000.0,152.98000000000002,147.9084,0.0038934013559777103,0.016936405487160487,49.63963963963965,1.625842954545874,156.728648142837,144.89035185716304
2021-09-14,148.12,150.35,151.07,146.91,109.30M,-0.96%,148.12,109300000.0,152.48,148.0716,-0.009562019391507914,0.013537132682442953,46.813933729821585,1.2193676704958705,156.69639524594677,144.62260475405324
2021-09-15,149.03,148.56,149.44,146.37,83.28M,0.61%,149.03,83280000.0,152.2,148.2118,0.0061436672967862815,0.013699035555130605,51.444588184562285,0.95960079358494,156.67953733903843,144.5234626609616
2021-09-16,148.79,148.44,148.97,147.22,68.03M,-0.16%,148.79,68030000.0,151.828,148.2962,-0.0016104140106019127,0.013524433064790278,52.76426360017691,0.7259988154514758,156.53538278885853,144.9106172111415
2021-09-17,146.06,148.82,148.82,145.76,129.87M,-1.83%,146.06,129870000.0,151.06900000000002,148.3526,-0.018348007258552235,0.013893273432962455,44.7693574958814,0.31692605405970653,156.60283612051262,144.77916387948738
2021-09-20,142.94,143.8,144.84,141.27,123.48M,-2.14%,142.94,123480000.0,149.933,148.3092,-0.02136108448582774,0.014360326236404753,27.75349650349648,-0.2560731299829513,157.21015412208465,143.64684587791538
2021-09-21,143.43,143.93,144.6,142.78,75.83M,0.34%,143.43,75830000.0,148.607,148.28779999999998,0.003428011753183302,0.012612798764293989,30.97826086956522,-0.6629975832359207,157.5829923441579,142.64600765584208
2021-09-22,145.85,144.45,146.43,143.7,76.40M,1.69%,145.85,76400000.0,147.68099999999998,148.292,0.016872341908944932,0.014954621296597621,36.02015113350128,-0.7812090770012219,157.63352305082222,142.21847694917776
2021-09-23,146.83,146.65,147.08,145.64,64.84M,0.67%,146.83,64840000.0,146.95700000000002,148.2456,0.006719232087761595,0.01548106172713619,35.58748943364331,-0.7867456139740057,157.6522511342581,142.04674886574185
2021-09-24,146.92,145.66,147.47,145.56,53.48M,0.06%,146.92,53480000.0,146.752,148.2144,0.0006129537560441989,0.0118526587455742,34.025974025973966,-0.7749381074544317,157.66469056076247,141.97230943923753
