Date,Price,Open,High,Low,Vol.,Change %,Close,Volume,MA10,MA50,Returns,Volatility,RSI,MACD,UpperBand,LowerBand
2021-08-24,141.26,140.61,142.08,140.34,19.27M,0.87%,141.26,19270000.0,137.603,129.7866,0.008711796629534474,0.00950990076996545,71.69143665958951,2.5692594673149074,140.0210356886427,133.37396431135733
2021-08-25,142.08,141.63,142.19,141.38,15.85M,0.58%,142.08,15850000.0,138.18300000000002,130.19979999999998,0.005804898768228872,0.00919188969895483,71.0773680404917,2.7452601666796,141.08230666245672,132.9116933375433
2021-08-26,141.44,141.75,142.42,141.36,20.61M,-0.45%,141.44,20610000.0,138.608,130.6132,-0.0045045045045045695,0.009532804496654128,70.41547277936954,2.8008133053079973,141.7740568942124,132.7859431057876
2021-08-27,144.0,141.65,144.51,141.5,28.78M,1.81%,144.0,28780000.0,139.23499999999999,131.0584,0.018099547511312153,0.01065729079894301,73.09446254071655,3.016636267990549,142.98087288502916,132.5061271149708
2021-08-30,144.59,144.4,145.97,144.16,24.43M,0.41%,144.59,24430000.0,139.863,131.548,0.0040972222222221966,0.010657709778381009,74.55808080808072,3.198416238548191,144.10733579380644,132.3536642061935
2021-08-31,144.7,145.15,145.17,144.28,22.45M,0.07%,144.7,22450000.0,140.667,132.0058,0.0007607718376096972,0.00912986549627232,77.30220492866395,3.3131621842723007,145.09173019998386,132.27626980001614
2021-09-01,145.22,145.0,146.25,144.88,21.94M,0.36%,145.22,21940000.0,141.644,132.46359999999999,0.0035936420179683015,0.007641698609620107,76.71324018629397,3.406787501471854,145.99450748565064,132.38249251434937
2021-09-02,143.29,145.22,145.52,143.18,32.36M,-1.33%,143.29,32360000.0,142.40500000000003,132.8868,-0.013290180415920672,0.009928233346658053,66.93057247259432,3.2873567670672514,146.43424537266594,132.64675462733408
2021-09-03,143.74,143.08,144.15,142.4,19.85M,0.32%,143.74,19850000.0,143.036,133.3116,0.003140484332472715,0.009596074989730724,66.6666666666666,3.1922203595757423,146.83412321661305,133.04687678338692
2021-09-07,144.28,143.83,144.57,143.62,20.13M,0.38%,144.28,20130000.0,143.46,133.747,0.003756783080562043,0.008146819281888096,75.09881422924892,3.124381631659844,147.30766423345386,133.31033576654613
2021-09-08,143.69,144.1,144.4,143.0,18.35M,-0.41%,143.69,18350000.0,143.70300000000003,134.17,-0.004089270862212335,0.008158286892712528,78.29670329670321,2.988560615410563,147.60369280908816,133.70230719091182
2021-09-09,143.54,143.84,144.31,143.18,15.32M,-0.10%,143.54,15320000.0,143.849,134.59539999999998,-0.0010439139814879539,0.008065792195694615,77.14088397790042,2.836124655495439,147.76033688363756,134.27166311636242
2021-09-10,140.88,144.21,144.72,140.74,36.84M,-1.86%,140.88,36840000.0,143.793,134.97119999999998,-0.018531419813292427,0.01010211649033969,61.20857699805062,2.4721805312827883,147.70164637664158,134.69935362335838
2021-09-13,142.33,141.95,142.95,141.25,22.09M,1.03%,142.33,22090000.0,143.62599999999998,135.369,0.010292447473026822,0.008725732900500582,58.046380885453296,2.274535641585885,147.73724985108845,135.12375014891154
2021-09-14,142.54,143.0,143.36,141.75,19.67M,0.15%,142.54,19670000.0,143.421,135.7146,0.0014754443897981862,0.008589501369667126,54.841149773071095,2.110517159440633,147.7898369323984,135.4941630676016
2021-09-15,144.43,142.77,144.45,141.35,27.41M,1.32%,144.43,27410000.0,143.39399999999998,136.0794,0.01325943594780421,0.009766509202933555,58.22253324002794,2.108730403806163,147.8245894566422,136.23641054335783
2021-09-16,143.61,143.95,144.3,142.4,26.20M,-0.57%,143.61,26200000.0,143.233,136.4222,-0.00567749082600566,0.009812253573113886,57.4982722874914,2.017886302909517,147.3659110849403,137.5110889150597
2021-09-17,140.8,143.03,143.45,140.47,53.38M,-1.96%,140.8,53380000.0,142.98399999999998,136.7374,-0.019566882529071794,0.010828847249312889,39.13043478260876,1.6995567503220457,146.56132774921483,138.82767225078518
2021-09-20,138.72,138.16,139.0,136.32,46.52M,-1.48%,138.72,46520000.0,142.482,137.00140000000002,-0.014772727272727382,0.011405695168042067,31.89389265885258,1.264859160684324,146.2840137737682,139.23398622623182
2021-09-21,139.03,139.75,140.01,138.28,25.33M,0.23%,139.03,25330000.0,141.957,137.2424,0.0022347174163783734,0.011307984046617087,32.72394881170028,0.9345991213876914,146.42145470367893,138.9955452963211
2021-09-22,140.28,139.3,140.89,138.55,25.06M,0.90%,140.28,25060000.0,141.616,137.50119999999998,0.00899086528087456,0.011986630873682258,35.58926487747962,0.7649127758260761,146.47732784756943,138.8416721524306
2021-09-23,141.22,140.99,141.7,140.4,20.95M,0.66%,141.22,20950000.0,141.384,137.7608,0.006700883946392899,0.012324680551981807,43.59133126934988,0.69823643356753,146.48089768575605,138.75210231424396
2021-09-24,142.21,140.54,142.33,140.24,22.98M,0.71%,142.21,22980000.0,141.517,138.065,0.007010338478969036,0.010991088735681769,45.416417016177355,0.7170143826975277,146.48523704089789,138.82476295910212
2021-09-27,141.07,140.8,141.94,140.07,21.88M,-0.80%,141.07,21880000.0,141.39100000000002,138.34699999999998,-0.008016313901976102,0.010793339467858775,40.71717755928283,0.6326151760877394,146.34625852892134,138.67074147107866
2021-09-28,135.83,138.65,139.1,135.36,45.77M,-3.72%,135.83,45770000.0,140.72,138.572,-0.037144679946125914,0.015678287535209987,32.087511394712905,0.14127545380273432,146.80320135390522,137.3377986460948
2021-09-29,134.35,136.98,137.15,133.87,30.85M,-1.09%,134.35,30850000.0,139.71200000000002,138.7348,-0.010895972907310703,0.014413983684917116,30.253545337344264,-0.36334997481148434,147.2419258999156,135.8640741000844
2021-09-30,133.68,134.26,135.54,133.56,38.03M,-0.50%,133.68,38030000.0,138.719,138.85739999999998,-0.00498697432080375,0.014423279605705563,33.08270676691734,-0.8080183308504445,147.39319860178344,134.55880139821656
2021-10-01,136.54,134.45,136.91,134.07,35.36M,2.14%,136.54,35360000.0,138.293,139.0198,0.02139437462597238,0.016181162985059873,37.241075363596245,-0.9190488852302394,147.25033078396478,134.0266692160352
2021-10-04,133.66,135.96,135.96,131.05,51.20M,-2.11%,133.66,51200000.0,137.78699999999998,139.0328,-0.021092720082027228,0.01680567312688211,32.492113564668784,-1.2253087339866795,147.26711294116097,133.00188705883903
