Date,Price,Open,High,Low,Vol.,Change %,Close,Volume,MA10,MA50,Returns,Volatility,RSI,MACD,UpperBand,LowerBand
2021-09-14,22.24,22.27,22.41,22.09,199.75M,0.41%,22.24,199750000.0,22.412,20.586,0.004063205417607296,0.011827571516403198,56.63716814159288,0.590367766431747,24.075622642527374,19.58437735747263
2021-09-15,22.34,22.31,22.37,21.97,166.54M,0.45%,22.34,166540000.0,22.407,20.6188,0.004496402877697925,0.011263132572611148,52.11726384364818,0.5587506794637669,23.930467278163977,20.017532721836023
2021-09-16,22.24,22.18,22.28,21.93,156.03M,-0.45%,22.24,156030000.0,22.387,20.6562,-0.004476275738585556,0.011304063850600798,52.80528052805276,0.5196347203923999,23.520573208726447,20.747426791273554
2021-09-17,21.9,22.3,22.32,21.83,294.50M,-1.53%,21.9,294500000.0,22.336999999999996,20.696199999999997,-0.015287769784172678,0.012200703548423406,36.785714285714306,0.4559440433946911,23.09971940534468,21.378280594655315
2021-09-20,21.11,21.15,21.43,20.66,349.44M,-3.61%,21.11,349440000.0,22.163999999999998,20.7174,-0.036073059360730575,0.013747303591530017,27.68361581920908,0.33782805379939873,23.017954397800057,21.48904560219994
2021-09-21,21.25,21.42,21.43,20.95,204.69M,0.66%,21.25,204690000.0,22.023,20.7322,0.006631927996210374,0.01447962203304195,33.13609467455625,0.25260523512731226,23.097176648317863,21.338823351682137
2021-09-22,21.94,21.37,21.96,21.2,268.73M,3.25%,21.94,268730000.0,21.982999999999997,20.766,0.03247058823529425,0.018596909474597394,43.7810945273632,0.23799926340271327,23.09176785695884,21.35923214304116
2021-09-23,22.48,22.14,22.53,21.89,248.55M,2.46%,22.48,248550000.0,22.012999999999998,20.8188,0.024612579762989917,0.020196056461900227,50.8849557522124,0.26692051902130487,23.11263487495458,21.36536512504542
2021-09-24,22.08,22.07,22.15,21.86,217.66M,-1.78%,22.08,217660000.0,21.973,20.881,-0.017793594306049876,0.020554096995253852,41.51785714285713,0.25462896124075485,23.112738979769876,21.366261020230123
2021-09-27,21.66,21.71,21.8,21.32,245.22M,-1.90%,21.66,245220000.0,21.924,20.951,-0.0190217391304347,0.020903906715001565,39.40677966101697,0.20859279533017272,23.078963487387696,21.302036512612297
